sample,algorithm,avg_epe,avg_mse,avg_pixel_corr
sample_000,TVL1,12.818716674071236,1709.072,0.7215351445579983
sample_000,DIS,15.1235787564295,2478.8403,0.5864552028787047
sample_000,Farneback,12.72888116926399,3224.8345,0.4549297792005416
sample_000,PCAFlow,14.937375354292282,3056.329,0.48466817419311414
sample_000,Lucas-Kanade,11.28753151850227,4147.7524,0.37190079019859634
sample_000,DeepFlow,14.85173565052979,2602.4546,0.5605956690088332
sample_001,TVL1,9.21984710188334,893.1145,0.8556768065302813
sample_001,DIS,10.843526726368495,1091.1777,0.8206917701736334
sample_001,Farneback,8.654511987606725,1976.0933,0.6664038167490705
sample_001,PCAFlow,11.154712856606068,1526.2073,0.7441727374332281
sample_001,Lucas-Kanade,6.36376244790179,2730.0225,0.5678231561665901
sample_001,DeepFlow,11.4526714001091,899.6963,0.8517259665824477
sample_002,TVL1,10.733130871581857,796.90063,0.8315795137676377
sample_002,DIS,12.839505053376733,1099.9209,0.7635721213933169
sample_002,Farneback,10.154081728555,1588.49,0.6541694238836051
sample_002,PCAFlow,12.993028684340835,1417.9357,0.69195290390624
sample_002,Lucas-Kanade,8.530821023141966,2054.014,0.5802859944011174
sample_002,DeepFlow,13.304122318317582,1035.5,0.7745445621557792
sample_003,TVL1,12.120945437503329,1312.0698,0.7859048710991916
sample_003,DIS,14.500048336642358,1917.5579,0.6818746839307324
sample_003,Farneback,12.007462362263794,2684.486,0.5492703198584586
sample_003,PCAFlow,14.391869118500507,2488.5288,0.5843288348551935
sample_003,Lucas-Kanade,9.974727663209922,3519.185,0.4555650473247305
sample_003,DeepFlow,14.57188412000409,1928.3835,0.6774490025606683
sample_004,TVL1,13.375131868840167,1171.4562,0.7621790441700842
sample_004,DIS,16.07674338176975,1734.025,0.6437011923936361
sample_004,Farneback,13.213820775574767,2576.9307,0.4630581930595552
sample_004,PCAFlow,15.596817756245512,2290.419,0.5219074185253134
sample_004,Lucas-Kanade,10.908290123896801,3306.421,0.3681041195450906
sample_004,DeepFlow,15.942271407438453,1789.3562,0.6263479435737043
sample_005,TVL1,12.325050997022267,1111.2898,0.7223798628907514
sample_005,DIS,15.026950459371227,1649.5696,0.5808486968206383
sample_005,Farneback,12.490254078069082,2239.025,0.42337505838025935
sample_005,PCAFlow,14.833846109645688,2110.1675,0.45817531152682456
sample_005,Lucas-Kanade,10.753590396505999,2896.5176,0.3315904315877629
sample_005,DeepFlow,14.99395942051526,1713.229,0.5605883433034353
sample_006,TVL1,12.019996285730475,1669.8314,0.6313288657523817
sample_006,DIS,14.210801883768848,2476.166,0.4343903362200886
sample_006,Farneback,12.246337529260758,3052.9158,0.2941144465996817
sample_006,PCAFlow,14.214391443486459,3005.0886,0.31161126187199206
sample_006,Lucas-Kanade,11.27194317645814,3888.149,0.2247559160254537
sample_006,DeepFlow,13.799701199480854,2690.6416,0.37482890990081047
