sample_idx,struct_sigma,speckle_scale,magnitude,smoothness,speckle_contrast,image_size,n_frames
0,17.27603896027216,0.08676107292028153,607.3781055794846,30,4.0,"[360, 360]",12
1,18.79758583556719,0.11924549640821343,528.2910834625726,30,4.0,"[360, 360]",12
2,7.375122636873303,0.161390808042573,337.18210953078005,30,4.0,"[360, 360]",12
3,16.97761927678296,0.11204721822815202,707.5331531421182,30,4.0,"[360, 360]",12
4,6.607041101561582,0.17872895845396075,589.0207474308465,30,4.0,"[360, 360]",12
5,7.4544511978743575,0.03063486459286184,703.5029136108302,30,4.0,"[360, 360]",12
6,13.85024368610141,0.10812621230461177,629.7512939340508,30,4.0,"[360, 360]",12
7,13.356686996920857,0.08708345004758361,687.0528750116497,30,4.0,"[360, 360]",12
8,14.253238225848305,0.15273758399234474,759.1802954915186,30,4.0,"[360, 360]",12
9,13.350875151555346,0.1461712206375391,598.1126146318205,30,4.0,"[360, 360]",12
10,14.419305107705032,0.12048737036322565,592.3254420309969,30,4.0,"[360, 360]",12
11,15.456139411117043,0.05628521105814201,660.2771615661032,30,4.0,"[360, 360]",12
12,11.796180001858609,0.13193451637014708,780.5380544006546,30,4.0,"[360, 360]",12
13,12.309303711829582,0.14650796414633294,617.2512803199221,30,4.0,"[360, 360]",12
14,19.223659046263442,0.09838735968317168,686.8199781202234,30,4.0,"[360, 360]",12
15,12.49284759142828,0.08645463267746188,651.5132338228098,30,4.0,"[360, 360]",12
16,9.021772977734333,0.11185066510215944,534.1973377326495,30,4.0,"[360, 360]",12
17,12.96798635008653,0.11539166927820142,703.4809380541191,30,4.0,"[360, 360]",12
18,11.636566418817686,0.09745362397590528,449.2611953443861,30,4.0,"[360, 360]",12
19,12.745586298548126,0.1642158531841391,574.0268118365307,30,4.0,"[360, 360]",12
20,21.19631516769263,0.16975384993097817,589.9227432743503,30,4.0,"[360, 360]",12
21,12.537983587184502,0.040199279269334934,469.6107422285182,30,4.0,"[360, 360]",12
22,16.732374064417005,0.15653641514202243,595.854503347057,30,4.0,"[360, 360]",12
23,8.28026737071942,0.1121971100534743,743.4917048987745,30,4.0,"[360, 360]",12
24,2.871455114948459,0.11886984972554697,689.7328371566771,30,4.0,"[360, 360]",12
25,11.368296939191373,0.09816528644151978,651.0181108758223,30,4.0,"[360, 360]",12
26,15.661743869461496,0.1010551658505478,510.1805759764882,30,4.0,"[360, 360]",12
27,12.046122474328905,0.09535288362094992,760.1480175859281,30,4.0,"[360, 360]",12
28,11.23599951929021,0.09986725931318079,770.0844851417156,30,4.0,"[360, 360]",12
29,12.39308150730792,0.12989048621697974,492.36417394085936,30,4.0,"[360, 360]",12
30,23.79168881249849,0.20393485645108717,666.4329335069218,30,4.0,"[360, 360]",12
31,8.770886606927252,0.07303845638366517,506.77472677125974,30,4.0,"[360, 360]",12
32,11.479451452546572,0.09446939642098659,634.3257608395859,30,4.0,"[360, 360]",12
33,12.689192594709972,0.17769169665853685,641.4877890641696,30,4.0,"[360, 360]",12
34,14.03626078929317,0.06786114923913578,507.6049831851755,30,4.0,"[360, 360]",12
35,8.175738284310436,0.19856319721266152,717.5412515698482,30,4.0,"[360, 360]",12
36,15.84106837796953,0.12343933245544976,630.622275093862,30,4.0,"[360, 360]",12
37,11.587444441080898,0.15443763943219974,433.5933571650511,30,4.0,"[360, 360]",12
38,9.925070575610034,0.11571548540976148,385.5290329298625,30,4.0,"[360, 360]",12
39,8.66354356876527,0.10238247015363447,573.4610151577749,30,4.0,"[360, 360]",12
40,11.613599622677107,0.14355861638520592,708.6651132927936,30,4.0,"[360, 360]",12
41,9.809307429735508,0.11144276507405623,728.7519660365114,30,4.0,"[360, 360]",12
42,10.352803814402243,0.07479108558093814,401.12510267179863,30,4.0,"[360, 360]",12
43,1.0,0.0628014440143782,463.27220474897507,30,4.0,"[360, 360]",12
44,11.821174828580551,0.14377271455208976,451.7452169187151,30,4.0,"[360, 360]",12
45,14.196370793148729,0.1702932462606376,529.1874871192198,30,4.0,"[360, 360]",12
46,18.36916579637895,0.11077253471593237,555.5969310060585,30,4.0,"[360, 360]",12
47,9.780436685458518,0.08977571539248388,544.1564313011813,30,4.0,"[360, 360]",12
48,9.310616089202657,0.1391994449337047,545.3376660960013,30,4.0,"[360, 360]",12
49,16.045720792238964,0.07556041351674658,701.3681888087842,30,4.0,"[360, 360]",12
